Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A deep learning based steganography integration framework for ad-hoc cloud computing data security augmentation using the V-BOINC system","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00339-w","Ahmed A. MawgoudMohamed Hamed N. TahaAmr Abu-TallebAmira Kotb","2022","http://link.springer.com/article/10.1186/s13677-022-00339-w","Article"
"A multi-dimensional extensible cloud-native service stack for enterprises","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00366-7","Jian LinDongming XieJinjun HuangZinan LiaoLong Ye","2022","http://link.springer.com/article/10.1186/s13677-022-00366-7","Article"
"Multi-cloud provisioning of business processes","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0143-x","Kyriakos KritikosChrysostomos ZeginisJoaquin IranzoRoman Sosa GonzalezDaniel SeyboldFrank GriesingerJörg Domaschka","2019","http://link.springer.com/article/10.1186/s13677-019-0143-x","Article"
"Evaluating the DevOps Reference Architecture for Multi-cloud IoT-Applications","SN Computer Science","","2","2","10.1007/s42979-021-00519-6","Georges Bou GhantousAsif Qumer Gill","2021","http://link.springer.com/article/10.1007/s42979-021-00519-6","Article"
"BSS: a brokering model for service selection using integrated weighting approach in cloud environment","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00239-5","Sameer Singh ChauhanEmmanuel S. PilliR. C. Joshi","2021","http://link.springer.com/article/10.1186/s13677-021-00239-5","Article"
"Helping novice developers harness security issues in cloud-IoT systems","Journal of Reliable Intelligent Environments","","8","3","10.1007/s40860-022-00175-4","Fulvio CornoLuigi De RussisLuca Mannella","2022","http://link.springer.com/article/10.1007/s40860-022-00175-4","Article"
"MDA: message digest-based authentication for mobile cloud computing","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0068-6","Saurabh DeySrinivas SampalliQiang Ye","2016","http://link.springer.com/article/10.1186/s13677-016-0068-6","Article"
"An optimization approach to capacity evaluation and investment decision of hybrid cloud: a corporate customer’s perspective","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0140-0","In Lee","2019","http://link.springer.com/article/10.1186/s13677-019-0140-0","Article"
"A service requirements engineering method for a digital service ecosystem","Service Oriented Computing and Applications","","10","2","10.1007/s11761-015-0175-0","Anne ImmonenEila OvaskaJarmo KalaojaDaniel Pakkala","2016","http://link.springer.com/article/10.1007/s11761-015-0175-0","Article"
"Model-based testing as a service","International Journal on Software Tools for Technology Transfer","","19","3","10.1007/s10009-017-0449-2","Steffen HerboldAndreas Hoffmann","2017","http://link.springer.com/article/10.1007/s10009-017-0449-2","Article"
"Building consumer trust in the cloud: an experimental analysis of the cloud trust label approach","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0129-8","Lisa van der WerffGrace FoxIeva MasevicVincent C. EmeakarohaJohn P. MorrisonTheo Lynn","2019","http://link.springer.com/article/10.1186/s13677-019-0129-8","Article"
"Stochastic Gradient Descent long short-term memory based secure encryption algorithm for cloud data storage and retrieval in cloud computing environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00442-6","M. SuganyaT. Sasipraba","2023","http://link.springer.com/article/10.1186/s13677-023-00442-6","Article"
"An enhanced ordinal optimization with lower scheduling overhead based novel approach for task scheduling in cloud computing environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00392-z","Monika YadavAtul Mishra","2023","http://link.springer.com/article/10.1186/s13677-023-00392-z","Article"
"SPReaD: service-oriented process for reengineering and DevOps","Service Oriented Computing and Applications","","16","1","10.1007/s11761-021-00329-x","Carlos Eduardo da SilvaYan de Lima JustinoEiji Adachi","2022","http://link.springer.com/article/10.1007/s11761-021-00329-x","Article"
"A systematic review on effective energy utilization management strategies in cloud data centers","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00368-5","Suraj Singh PanwarM. M. S. RauthanVarun Barthwal","2022","http://link.springer.com/article/10.1186/s13677-022-00368-5","Article"
"Quantum service-oriented computing: current landscape and challenges","Software Quality Journal","","30","4","10.1007/s11219-022-09589-y","Enrique MoguelJavier RojoDavid ValenciaJavier BerrocalJose Garcia-AlonsoJuan M. Murillo","2022","http://link.springer.com/article/10.1007/s11219-022-09589-y","Article"
"KeyPIn – mitigating the free rider problem in the distributed cloud based on Key, Participation, and Incentive","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00280-y","Doyel PalPraveen KhethavathJohnson P. ThomasUtpal Mangla","2022","http://link.springer.com/article/10.1186/s13677-022-00280-y","Article"
"Assessing the suitability of the Greenhouse Gas Protocol for calculation of emissions from public cloud computing workloads","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00185-8","David Mytton","2020","http://link.springer.com/article/10.1186/s13677-020-00185-8","Article"
"Modelling trust and risk for cloud services","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0114-7","Erdal CayirciAnderson Santana de Oliveira","2018","http://link.springer.com/article/10.1186/s13677-018-0114-7","Article"
"Privacy preserving model: a new scheme for auditing cloud stakeholders","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0076-1","Abdul RazaqueSyed S. Rizvi","2017","http://link.springer.com/article/10.1186/s13677-017-0076-1","Article"
"Model-based resource analysis and synthesis of service-oriented automotive software architectures","Software and Systems Modeling","","20","6","10.1007/s10270-021-00896-9","Stefan KugelePhilipp ObergfellEric Sax","2021","http://link.springer.com/article/10.1007/s10270-021-00896-9","Article"
"A novel approach for IoT tasks offloading in edge-cloud environments","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00243-9","Jaber AlmutairiMohammad Aldossary","2021","http://link.springer.com/article/10.1186/s13677-021-00243-9","Article"
"Intent-driven cloud resource design framework to meet cloud performance requirements and its application to a cloud-sensor system","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00242-w","Chao WuShingo HoriuchiKenji MuraseHiroaki KikushimaKenichi Tayama","2021","http://link.springer.com/article/10.1186/s13677-021-00242-w","Article"
"Cloudy transaction costs: a dive into cloud computing economics","Journal of Cloud Computing","","9","1","10.1186/s13677-019-0149-4","Rasha Makhlouf","2020","http://link.springer.com/article/10.1186/s13677-019-0149-4","Article"
"In-depth analysis and open challenges of Mist Computing","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00354-x","Juan José López EscobarRebeca P. Díaz RedondoFelipe Gil-Castiñeira","2022","http://link.springer.com/article/10.1186/s13677-022-00354-x","Article"
"High availability in clouds: systematic review and research challenges","Journal of Cloud Computing","","5","1","10.1186/s13677-016-0066-8","Patricia T. EndoMoisés RodriguesGlauco E. GonçalvesJudith KelnerDjamel H. SadokCalin Curescu","2016","http://link.springer.com/article/10.1186/s13677-016-0066-8","Article"
"Resilience analysis of service-oriented collaboration process management systems","Service Oriented Computing and Applications","","12","1","10.1007/s11761-018-0233-5","Paul de VriezeLai Xu","2018","http://link.springer.com/article/10.1007/s11761-018-0233-5","Article"
"A configurable method for benchmarking scalability of cloud-native applications","Empirical Software Engineering","","27","6","10.1007/s10664-022-10162-1","Sören HenningWilhelm Hasselbring","2022","http://link.springer.com/article/10.1007/s10664-022-10162-1","Article"
"Experts reviews of a cloud forensic readiness framework for organizations","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0133-z","Ahmed AleneziHany F. AtlamGary B. Wills","2019","http://link.springer.com/article/10.1186/s13677-019-0133-z","Article"
"Improving datacenter utilization through containerized service-based architecture","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00319-0","Aos MulahuwaishShane KorbelBasheer Qolomany","2022","http://link.springer.com/article/10.1186/s13677-022-00319-0","Article"
"DSTS: A hybrid optimal and deep learning for dynamic scalable task scheduling on container cloud environment","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00304-7","Saravanan MuniswamyRadhakrishnan Vignesh","2022","http://link.springer.com/article/10.1186/s13677-022-00304-7","Article"
"Degrees of tenant isolation for cloud-hosted software services: a cross-case analysis","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0121-8","Laud Charles OcheiJulian M. BassAndrei Petrovski","2018","http://link.springer.com/article/10.1186/s13677-018-0121-8","Article"
"AWESOME: an auction and witness enhanced SLA model for decentralized cloud marketplaces","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00292-8","Zeshun ShiVeno IvankovicSiamak FarshidiJayachander SurbiryalaHuan ZhouZhiming Zhao","2022","http://link.springer.com/article/10.1186/s13677-022-00292-8","Article"
"Reconnoitering the significance of security using multiple cloud environments for conveyance applications with blowfish algorithm","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00351-0","S ShitharthFahad S. AlotaibiHariprasath ManoharanAdil O. KhadidosKhaled H. AlyoubiAbdulrhman M. Alshareef","2022","http://link.springer.com/article/10.1186/s13677-022-00351-0","Article"
"Enabling scalable and fault-tolerant multi-agent systems by utilizing cloud-native computing","Autonomous Agents and Multi-Agent Systems","","35","1","10.1007/s10458-020-09489-0","Stefan DählingLukas RazikAntonello Monti","2021","http://link.springer.com/article/10.1007/s10458-020-09489-0","Article"
"A cloud priority-based dynamic online double auction mechanism (PB-DODAM)","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00213-7","S. M. Reza DibajAli MiriSeyedAkbar Mostafavi","2020","http://link.springer.com/article/10.1186/s13677-020-00213-7","Article"
"RADON: rational decomposition and orchestration for serverless computing","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00413-w","G. CasaleM. ArtačW.-J. van den HeuvelA. van HoornP. JakovitsF. LeymannM. LongV. PapanikolaouD. PresenzaA. RussoS. N. SriramaD. A. TamburriM. WursterL. Zhu","2020","http://link.springer.com/article/10.1007/s00450-019-00413-w","Article"
"The essential deployment metamodel: a systematic review of deployment automation technologies","SICS Software-Intensive Cyber-Physical Systems","","35","1 - 2","10.1007/s00450-019-00412-x","Michael WursterUwe BreitenbücherMichael FalkenthalChristoph KriegerFrank LeymannKaroline SaatkampJacopo Soldani","2020","http://link.springer.com/article/10.1007/s00450-019-00412-x","Article"
"A hybrid auto-scaling technique for clouds processing applications with service level agreements","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0100-5","Anshuman BiswasShikharesh MajumdarBiswajit NandyAli El-Haraki","2017","http://link.springer.com/article/10.1186/s13677-017-0100-5","Article"
"Efficient resourceful mobile cloud architecture (mRARSA) for resource demanding applications","Journal of Cloud Computing","","9","1","10.1186/s13677-020-0155-6","Asharul IslamAnoop KumarKhalid MohiuddinSadaf YasminMohammed Abdul KhaleelMohammad Rashid Hussain","2020","http://link.springer.com/article/10.1186/s13677-020-0155-6","Article"
"A real-world inspired multi-strategy based negotiating system for cloud service market","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0116-5","Sepideh AdabiMozhgan MosadeghiSamaneh Yazdani","2018","http://link.springer.com/article/10.1186/s13677-018-0116-5","Article"
"A Novel Weight-Assignment Load Balancing Algorithm for Cloud Applications","SN Computer Science","","4","3","10.1007/s42979-023-01702-7","Adekunbi A. AdewojoJulian M. Bass","2023","http://link.springer.com/article/10.1007/s42979-023-01702-7","Article"
"Multi-objective workflow optimization strategy (MOWOS) for cloud computing","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00219-1","J. Kok KonjaangLina Xu","2021","http://link.springer.com/article/10.1186/s13677-020-00219-1","Article"
"Replaceability and negotiation in a cloud service ecosystem","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0137-8","Adrija BhattacharyaSankhayan ChoudhuryAgostino Cortesi","2019","http://link.springer.com/article/10.1186/s13677-019-0137-8","Article"
"Contactless Technologies for Smart Cities: Big Data, IoT, and Cloud Infrastructures","SN Computer Science","","2","4","10.1007/s42979-021-00719-0","Arunmozhi ManimuthuVenugopal DharshiniIoannis ZografopoulosM. K. PriyanCharalambos Konstantinou","2021","http://link.springer.com/article/10.1007/s42979-021-00719-0","Article"
"Task scheduling in cloud environment: optimization, security prioritization and processor selection schemes","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00374-7","Tao HaiJincheng ZhouDayang JawawiDan WangUzoma OduahCresantus BiambaSanjiv Kumar Jain","2023","http://link.springer.com/article/10.1186/s13677-022-00374-7","Article"
"Architecture consistency: State of the practice, challenges and requirements","Empirical Software Engineering","","23","1","10.1007/s10664-017-9515-3","Nour AliSean BakerRoss O’CrowleySebastian HeroldJim Buckley","2018","http://link.springer.com/article/10.1007/s10664-017-9515-3","Article"
"Supporting User Protection Requirements in Cloud-Based Data Outsourcing","SN Computer Science","","4","4","10.1007/s42979-023-01707-2","Sabrina De Capitani di VimercatiSara ForestiGiovanni LivragaPierangela Samarati","2023","http://link.springer.com/article/10.1007/s42979-023-01707-2","Article"
"A price-aware congestion control protocol for cloud services","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00271-5","Xiaocui SunZhijun WangYunxiang WuHao CheHong Jiang","2021","http://link.springer.com/article/10.1186/s13677-021-00271-5","Article"
"Load balancing in cloud computing – A hierarchical taxonomical classification","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0146-7","Shahbaz AfzalG. Kavitha","2019","http://link.springer.com/article/10.1186/s13677-019-0146-7","Article"
"Dynamic resource provisioning and secured file sharing using virtualization in cloud azure","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00326-1","Kumaresan PerumalSenthilkumar MohanJaroslav FrndaParameshachari Bidare Divakarachari","2022","http://link.springer.com/article/10.1186/s13677-022-00326-1","Article"
"Cost-based hierarchy genetic algorithm for service scheduling in robot cloud platform","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00395-w","Lei YinJin LiuFengyu ZhouMing GaoMing Li","2023","http://link.springer.com/article/10.1186/s13677-023-00395-w","Article"
"Task scheduling and resource allocation in cloud computing using a heuristic approach","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0105-8","Mahendra Bhatu GawaliSubhash K. Shinde","2018","http://link.springer.com/article/10.1186/s13677-018-0105-8","Article"
"Towards energy aware cloud computing application construction","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0083-2","Django ArmstrongKarim DjemameRichard Kavanagh","2017","http://link.springer.com/article/10.1186/s13677-017-0083-2","Article"
"A multi-objective optimization for resource allocation of emergent demands in cloud computing","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00237-7","Jing ChenTiantian DuGongyi Xiao","2021","http://link.springer.com/article/10.1186/s13677-021-00237-7","Article"
"QoS-based ranking and selection of SaaS applications using heterogeneous similarity metrics","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0117-4","Azubuike EzenwokeOlawande DaramolaMatthew Adigun","2018","http://link.springer.com/article/10.1186/s13677-018-0117-4","Article"
"2PC*: a distributed transaction concurrency control protocol of multi-microservice based on cloud computing platform","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00183-w","Pan FanJing LiuWei YinHui WangXiaohong ChenHaiying Sun","2020","http://link.springer.com/article/10.1186/s13677-020-00183-w","Article"
"Temperature and energy-aware consolidation algorithms in cloud computing","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0136-9","Maede YavariAkbar Ghaffarpour RahbarMohammad Hadi Fathi","2019","http://link.springer.com/article/10.1186/s13677-019-0136-9","Article"
"Admission control policy and key agreement based on anonymous identity in cloud computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00446-2","D. PaulrajS. NeelakandanM. PrakashE. Baburaj","2023","http://link.springer.com/article/10.1186/s13677-023-00446-2","Article"
"Using genetic algorithms to find optimal solution in a search space for a cloud predictive cost-driven decision maker","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0122-7","Ali Yadav NikraveshSamuel A. AjilaChung-Horng Lung","2018","http://link.springer.com/article/10.1186/s13677-018-0122-7","Article"
"Generic SDE and GA-based workload modeling for cloud systems","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00223-5","Cédric St-OngeSouhila BenmakreloufNadjia KaraHanine ToutClaes EdstromRafi Rabipour","2021","http://link.springer.com/article/10.1186/s13677-020-00223-5","Article"
"Min-max exclusive virtual machine placement in cloud computing for scientific data environment","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00221-7","Moon-Hyun KimJun-Yeong LeeSyed Asif Raza ShahTae-Hyung KimSeo-Young Noh","2021","http://link.springer.com/article/10.1186/s13677-020-00221-7","Article"
"Improved wild horse optimization with levy flight algorithm for effective task scheduling in cloud computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00401-1","G. SaravananS. NeelakandanP. EzhumalaiSudhanshu Maurya","2023","http://link.springer.com/article/10.1186/s13677-023-00401-1","Article"
"Community clouds within M-commerce: a privacy by design perspective","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0093-0","Farid ShiraziAmna Iqbal","2017","http://link.springer.com/article/10.1186/s13677-017-0093-0","Article"
"Dynamic spatial index for efficient query processing on the cloud","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0077-0","Ibrahim KamelAyesha M. TalhaZaher Al Aghbari","2017","http://link.springer.com/article/10.1186/s13677-017-0077-0","Article"
"Security-driven distributed platforms for intellectual property resource provision - a case study of TSITE IP","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00274-2","Yang Wang","2021","http://link.springer.com/article/10.1186/s13677-021-00274-2","Article"
"Cloud failure prediction based on traditional machine learning and deep learning","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00327-0","Tengku Nazmi Tengku AsmawiAzlan IsmailJun Shen","2022","http://link.springer.com/article/10.1186/s13677-022-00327-0","Article"
"Efficient resource allocation and dimensioning of media edge clouds infrastructure","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0099-7","Abdallah JarrayAhmed KarmouchJavier SalazarJocelyne EliasAhmed MehaouaFaisal Zaman","2017","http://link.springer.com/article/10.1186/s13677-017-0099-7","Article"
"Innovation strategy design of public sports service governance based on cloud computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00448-0","Yangyang HaoZhaoyi QiuQiner XuQiuhong HeXuemo FangChuyun Wang","2023","http://link.springer.com/article/10.1186/s13677-023-00448-0","Article"
"Optimal and suboptimal resource allocation techniques in cloud computing data centers","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0075-2","Mohamed Abu SharkhAbdallah ShamiAbdelkader Ouda","2017","http://link.springer.com/article/10.1186/s13677-017-0075-2","Article"
"A fine-grained task scheduling mechanism for digital economy services based on intelligent edge and cloud computing","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00402-0","Xiaoming Zhang","2023","http://link.springer.com/article/10.1186/s13677-023-00402-0","Article"
"Secure end-to-end processing of smart metering data","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0141-z","Andrey BritoChristof FetzerStefan KöpsellPeter PietzuchMarcelo PasinPascal FelberKeiko FonsecaMarcelo RosaLuiz Gomes JrRodrigo RiellaCharles PradoLuiz F. RustDaniel E. LucaniMárton SiposLászló NagyMarcell Fehér","2019","http://link.springer.com/article/10.1186/s13677-019-0141-z","Article"
"LogDrive: a proactive data collection and analysis framework for time-traveling forensic investigation in IaaS cloud environments","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0119-2","Manabu HiranoNatsuki TsuzukiSeishiro IkedaRyotaro Kobayashi","2018","http://link.springer.com/article/10.1186/s13677-018-0119-2","Article"
"Cloud resource management: towards efficient execution of large-scale scientific applications and workflows on complex infrastructures","Journal of Cloud Computing","","6","1","10.1186/s13677-017-0081-4","Nelson Mimura GonzalezTereza Cristina Melo de Brito CarvalhoCharles Christian Miers","2017","http://link.springer.com/article/10.1186/s13677-017-0081-4","Article"
"Pricing cloud IaaS computing services","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00161-2","Nicola Dimitri","2020","http://link.springer.com/article/10.1186/s13677-020-00161-2","Article"
"Private anomaly detection of student health conditions based on wearable sensors in mobile cloud computing","Journal of Cloud Computing","","11","1","10.1186/s13677-022-00300-x","Yu XieKuilin ZhangHuaizhen KouMohammad Jafar Mokarram","2022","http://link.springer.com/article/10.1186/s13677-022-00300-x","Article"
"Efficiency and optimization of government service resource allocation in a cloud computing environment","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00400-2","Ya-guang GuoQian YinYixiong WangJun XuLeqi Zhu","2023","http://link.springer.com/article/10.1186/s13677-023-00400-2","Article"
"Multi-Dimensional Regression Host Utilization algorithm (MDRHU) for Host Overload Detection in Cloud Computing","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0130-2","Ali A. El-MoursyAmany AbdelsameaRukshanda KamranMohamed Saad","2019","http://link.springer.com/article/10.1186/s13677-019-0130-2","Article"
"The cloud application modelling and execution language","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0138-7","Achilleas P. AchilleosKyriakos KritikosAlessandro RossiniGeorgia M. KapitsakiJörg DomaschkaMichal OrzechowskiDaniel SeyboldFrank GriesingerNikolay NikolovDaniel RomeroGeorge A. Papadopoulos","2019","http://link.springer.com/article/10.1186/s13677-019-0138-7","Article"
"Cloud application deployment with transient failure recovery","Journal of Cloud Computing","","7","1","10.1186/s13677-018-0112-9","Ioannis GiannakopoulosIoannis KonstantinouDimitrios TsoumakosNectarios Koziris","2018","http://link.springer.com/article/10.1186/s13677-018-0112-9","Article"
"A secure data deduplication system for integrated cloud-edge networks","Journal of Cloud Computing","","9","1","10.1186/s13677-020-00214-6","Shynu P. G.Nadesh R. K.Varun G. MenonVenu P.Mahdi AbbasiMohammad R. Khosravi","2020","http://link.springer.com/article/10.1186/s13677-020-00214-6","Article"
